Dataset,SketchBoost Full,CatBoost (multioutput),GBDTMO-Full,GBDTMO-Sparse,Random Sampling,Random Projection
Caltech (101 classes),13.8488,136.435,776.9003,1312.5386,12.488,16.0879
NUS-WIDE (81 labels),87.5762,13857.0014,2606.9869,3660.2744,35.1068,72.6631
MNIST (10 classes),46.6257,156.2955,362.6884,399.7232,102.8937,66.8702
MNIST-REG (24 tasks),90.3452,964.1152,210.9613,163.1199,107.6902,45.9758
