Dataset,SketchBoost Full,CatBoost (multioutput),XGBoost (one-vs-all),Tabnet,Top Outputs,Random Sampling,Random Projection
Otto (9 classes),4424.8,5534.4,2142.0,27.2,4799.2,5424.4,5201.4
Dionis (355 classes),18519.0,19858.8,2681.0,39.4,17039.4,17990.4,11509.6
Helena (100 classes),13492.2,11238.2,1563.8,49.6,15042.0,16975.6,11670.2
SF-Crime (39 classes),3754.6,3993.6,1212.4,14.8,3790.2,3726.2,3611.4
MoA (206 labels),2240.6,4239.0,471.8,38.2,2606.2,5542.6,2093.0
SCM20D (16 tasks),19992.8,19998.0,19998.0,147.2,19992.4,19991.8,19993.6
RF1 (8 tasks),17001.4,19999.0,19994.6,98.4,16102.8,17076.2,16815.2
Delicious (983 labels),6911.2,3956.0,1611.6,143.4,7063.2,8015.0,7541.6
Mediamill (101 labels),17927.4,8983.2,1878.6,84.6,18623.8,19961.6,17826.6
