Dataset,SketchBoost Full,CatBoost (multioutput),XGBoost (one-vs-all),Tabnet,Top Outputs,Random Sampling,Random Projection
Otto (9 classes),0.8223+-0.0021,0.8213+-0.0012,0.8238+-0.001,0.7972+-0.0031,0.821+-0.0016,0.8236+-0.0025,0.8258+-0.001
Dionis (355 classes),0.9227+-0.0004,0.9234+-0.0003,0.9193+-0.0007,0.8936+-0.0032,0.9227+-0.0007,0.9251+-0.0005,0.9285+-0.0004
Helena (100 classes),0.3783+-0.0011,0.3808+-0.0017,0.377+-0.0012,0.3503+-0.0061,0.3773+-0.0014,0.3821+-0.0009,0.3836+-0.0019
SF-Crime (39 classes),0.3343+-0.0007,0.3352+-0.0008,0.3326+-0.0003,0.255+-0.0038,0.3349+-0.0006,0.3353+-0.0005,0.3357+-0.0004
MoA (206 labels),0.9971+-0.0,0.9971+-0.0,0.9971+-0.0,0.9967+-0.0001,0.9971+-0.0,0.9972+-0.0,0.9971+-0.0
SCM20D (16 tasks),0.9224+-0.0007,0.9224+-0.0006,0.9257+-0.0008,0.9281+-0.0022,0.9262+-0.001,0.9301+-0.0007,0.9309+-0.0008
RF1 (8 tasks),0.9995+-0.0001,0.9997+-0.0,0.9997+-0.0,0.9932+-0.0037,0.9994+-0.0001,0.9996+-0.0001,0.9997+-0.0
Delicious (983 labels),0.9824+-0.0,0.9825+-0.0,0.9826+-0.0,0.9816+-0.0001,0.9824+-0.0,0.9824+-0.0,0.9824+-0.0
Mediamill (101 labels),0.9747+-0.0001,0.9744+-0.0001,0.9746+-0.0,0.9709+-0.0011,0.9747+-0.0,0.9746+-0.0001,0.9748+-0.0
