Dataset,SketchBoost Full,CatBoost (multioutput),XGBoost (one-vs-all),Tabnet,Top Outputs,Random Sampling,Random Projection
Otto (9 classes),131.2795,73.7665,1244.9438,903.2607,113.7105,102.3624,89.6285
Dionis (355 classes),23919.0901,18600.3721,18635.1964,1853.4115,1889.298,2038.0721,419.5824
Helena (100 classes),355.5974,436.6722,1036.0248,1195.6204,154.6307,180.6419,113.49
SF-Crime (39 classes),1146.1403,659.731,4016.9352,2682.5084,705.4014,676.2324,612.804
MoA (206 labels),696.249,9398.4015,376.3628,672.1119,103.5214,189.2574,87.0725
SCM20D (16 tasks),597.8406,798.6409,1432.8394,295.73,499.3633,528.8417,479.0236
RF1 (8 tasks),413.7743,804.6936,315.1049,207.8435,369.8712,396.4812,340.9701
Delicious (983 labels),19553.5613,20120.1416,15795.5608,2902.3544,575.1124,664.0449,1259.752
Mediamill (101 labels),1777.6927,10164.0577,2074.3119,1230.7093,251.4459,263.4639,294.3931
